FLASH,DESS,FISP,PSIF,Class
7,6,10,2,AIR
0,6,8,0,AIR
8,2,4,11,AIR
3,7,2,11,AIR
5,3,0,6,AIR
2,4,0,7,AIR
7,5,1,5,AIR
3,4,7,5,AIR
4,2,10,2,AIR
5,1,4,7,AIR
3,6,6,9,AIR
2,2,5,1,AIR
4,2,3,7,AIR
14,7,3,7,AIR
9,3,7,5,AIR
1,7,2,2,AIR
4,6,9,0,AIR
3,4,5,2,AIR
3,4,5,9,AIR
14,4,9,11,AIR
0,5,3,12,AIR
4,6,5,4,AIR
5,6,2,5,AIR
8,4,3,11,AIR
9,4,10,1,AIR
3,1,5,0,AIR
7,3,5,5,AIR
1,3,7,3,AIR
5,1,0,3,AIR
14,7,3,8,AIR
2,3,4,8,AIR
2,2,0,10,AIR
3,4,5,0,AIR
0,5,9,3,AIR
0,5,6,7,AIR
4,8,5,5,AIR
2,0,4,4,AIR
4,3,2,4,AIR
6,6,7,4,AIR
11,9,10,6,AIR
2,4,2,6,AIR
3,6,6,11,AIR
6,5,4,5,AIR
12,4,5,12,AIR
7,5,7,2,AIR
3,2,4,6,AIR
8,4,3,3,AIR
4,7,5,4,AIR
3,2,1,9,AIR
5,6,5,6,AIR
9,3,4,4,AIR
1,1,7,12,AIR
8,3,4,4,AIR
4,7,12,4,AIR
1,2,7,7,AIR
5,8,7,6,AIR
2,6,4,4,AIR
7,6,7,6,AIR
5,7,7,9,AIR
4,12,12,8,AIR
8,6,12,1,AIR
11,14,3,8,AIR
1,6,3,6,AIR
1,5,2,8,AIR
7,5,3,4,AIR
8,4,5,8,AIR
6,3,5,3,AIR
2,3,1,8,AIR
7,6,6,7,AIR
7,6,3,6,AIR
10,3,7,7,AIR
4,7,8,3,AIR
8,5,3,4,AIR
4,3,11,5,AIR
13,5,6,6,AIR
6,7,9,6,AIR
3,2,8,12,AIR
3,4,6,3,AIR
8,9,3,9,AIR
10,5,11,8,AIR
3,3,6,7,AIR
7,4,3,6,AIR
3,10,12,4,AIR
3,8,17,3,AIR
15,15,7,7,AIR
3,9,2,14,AIR
4,9,2,3,AIR
4,4,1,3,AIR
5,3,6,5,AIR
14,2,5,6,AIR
2,4,0,5,AIR
4,3,6,7,AIR
6,1,3,10,AIR
9,4,10,9,AIR
5,8,7,3,AIR
5,5,3,8,AIR
4,4,7,3,AIR
9,6,6,5,AIR
8,4,5,6,AIR
3,1,7,9,AIR
4,3,5,4,AIR
12,5,5,13,AIR
7,7,10,5,AIR
3,3,4,3,AIR
5,4,3,9,AIR
3,4,6,2,AIR
2,3,2,2,AIR
2,6,11,2,AIR
7,13,18,5,AIR
11,13,6,3,AIR
5,11,2,14,AIR
3,10,3,2,AIR
5,3,1,5,AIR
8,5,9,3,AIR
10,3,5,10,AIR
7,5,5,3,AIR
4,7,3,7,AIR
4,2,3,11,AIR
2,3,7,13,AIR
9,9,1,5,AIR
0,4,2,6,AIR
2,6,7,8,AIR
6,5,7,5,AIR
12,4,4,3,AIR
2,2,5,2,AIR
4,3,7,2,AIR
9,4,3,13,AIR
1,6,3,2,AIR
5,6,3,7,AIR
1,2,0,7,AIR
7,3,3,1,AIR
4,2,3,5,AIR
9,3,8,5,AIR
3,9,11,5,AIR
8,17,17,5,AIR
5,12,8,2,AIR
5,12,6,8,AIR
0,8,5,2,AIR
9,5,2,7,AIR
8,6,11,2,AIR
2,3,7,11,AIR
6,5,8,1,AIR
4,10,1,7,AIR
3,3,5,7,AIR
